View,Name of Firm,Trade Name,unknown,unknown,"Address, line 1","Address, line 2",City,State,Zip,Capabilities Narrative,Accepts Credit Card?,CAGE Code,Congr. Dist.,County Code,DUNS Number,Fiscal Year Ends,In SAM?,Incorp. Country,Main/Branch,Metro Stat Area,WWW Page URL,Year Established,8(a) Entrance Date,8(a) Exit Date,HUBZone Certification Date,HUBZone Exit Date,Legal Structure,SDB Entrance Date,SDB Exit Date,unknown,unknown,Special Equipment/Materials,"NAICS, All (for which firm is small)"
122,"Three Oaks Engineering, Inc. ",,Suzanne U Young,,"324 Blackwell St, Ste 1140 ",,Durham,NC,27701-3600,,No,7F1H4,1,63,79327186,1201,Y,USA,Main,6640,www.threeoaksengineering.com,2013,,,,,,,,,,,"541330, 541330, 541330, 541330, 541620"
123,"New Horizons Computer Learning Centers, Inc. ",New Horizons Computer Lrng ,JON  KUDLICK,,5400 S Miami Blvd Ste 140 ,,Durham,NC,27703-8465,,Yes,3XBM5,4,63,114285252,1201,Y,USA,Main,6640,www.nhrtp.com,2001,,,,,SC,,,,,,"611420, 611519, 611519"
124,"400, LLC, THE",,Kevin  Thomas,,4601 CREEKSTONE DR STE 106,,DURHAM,NC,27703-0000,,No,5Q0N2,1,63,168849524,1201,Y,USA,Main,6640,WhitlockIS.com,2004,,,,,LL,,,,,,"519190, 541519, 541519, 541611, 541618, 541990"
125,SIMULATION TECHNOLOGIES INC,,Hugh V Jamieson III,,1539 COOPER ST,,DURHAM,NC,27703-5015,,No,1CHJ7,1,63,884934191,1201,Y,USA,Main,6640,HTTP://WWW.SIMULATIONTECH.COM,1994,,,,,SC,,,,,,"332911, 332912, 332996, 333911, 339999, 424720, 611519, 611519"
126,"Scoggins & Company, Inc. ",,Clay Scoggins,,918 Pearl St ,,Durham,NC,27701-3500,,No,4JYR8,1,63,161575402,1201,Y,USA,Main,6640,http://www.scogginsco.com,1985,,,,,,,,,,,238220
127,ROADMARK CORPORATION,,DAVID ROSENTHAL,,320 MULDEE ST,,DURHAM,NC,27703-2332,,No,3UCL7,1,63,91249201,1201,Y,USA,Main,6640,http://roadmarkcorp.com/,1978,,,,,,,,,,,237310
128,"Styles, LaCresha X. ",,LaCresha X Styles,,1533 Ellis Rd K208 ,,Durham,NC,27703-6408,,No,6ZL57,1,63,79143904,1201,Y,USA,Main,6640,,2013,,,,,,,,,,,541990
129,"HYDRO SERVICE & SUPPLIES, INC.",,Charlie Atwater,,514C UNITED DR,,DURHAM,NC,27713-1476,,Yes,3KWF5,1,63,49192169,601,Y,USA,Branch,6640,http://www.hydroservice.com,1967,,,,,,,,,,,"333318, 811219"
130,"Qualyst Transporter Solutions, LLC ",,Billie Caison,,2810 Meridian Pkwy Ste 100 ,,Durham,NC,27713-2234,,No,75G66,1,63,79428669,1201,Y,USA,Main,6640,www.qualyst.com,2012,,,,,LL,,,,,,541380
131,BRITEBIO INC,,Yolanda R Lea-Currie,,3200 E HWY 54,,DURHAM,NC,27709-0000,,Yes,6CPC4,4,63,78530861,1201,Y,USA,Main,6640,,2012,,,,,,,,,,,"325414, 541380, 541690, 541711, 541712, 541712, 541712, 541712, 541990"
132,ZEN-BIO INC,ZENBIO,PETER PIERACCINI,Director of Business Development,3200 E HWY 54 STE 104,,RESEARCH TRIANGLE PARK,NC,27709-0000,"Cultured human cell systems for drug discovery. Offering adipocytes, preadipocytes, visceral adipocytes, hepatocytes, skeletal myocytes, media, reagents, RNA, Assay development services, compound screeing services and extensive contract assay services.",Yes,3MZW4,4,63,799863261,1201,Y,USA,Main,6640,,1995,,,,,,,,"Adipocyte, Preadipocyte, Skeletal Myocyte, Hepatocyte, Media, Reagent, RNA, Contract Research, Diabetes, Obesity, Leptin, Adiponectin, Glucose Uptake, Elisa, bDNA, Lipolysis, aP2, Cell System, Cultured Cell, metabolic disease, syndrome X","assay development, normal human cell, omental","Cell culture facility, access to surgical samples diverse patient populations. Hundreds of patient lots available","325414, 541380, 541711, 541712, 541712, 541712, 541712, 621511"
133,"SIERRA STRUCTURES, INC.",,Kenneth Meashey,,917 ELLIS RD,,DURHAM,NC,27703-6020,Experienced Fencing Company. All types of fence. Builder of exterior structures and improvements. Specialize in Security fencing and access control. Commerical and Residential construction. Gate fabrication.,Yes,5XE75,1,63,961777419,1201,Y,USA,Main,6640,http://www.SierraStructures.com,2010,,,,,SC,,,"Fence, Chain Link Fence, Security Fence, Fencing, Wood Materials, Nails, Gates, Gate Hardware, Access Control, Aluminum Fence, Ornimental Fencing, Decks, Sheds, Screen Porches",,"Bobcat, Forklifts, Trucks, Delivery Trucks,diggers, augers, tools and compressors. Welding",238990
134,Stelling Engineering PA ,,JOHN H STELLING,PRINCIPAL/OWNER,1319 ARNETTE AVE ,,DURHAM,NC,27707-1601,"Air quality support provided, with additional support to storm water and emergency response planning. No construction services.",No,1YAJ5,1,63,52631475,1201,Y,USA,Main,6640,,1997,,,,,SC,,,"air quality, storm water, EPCRA, emergency planning, permitting",,,"541330, 541330, 541330, 541330, 541620"
135,"DUKES, ANTHONY ",ACD Servicing Company ,anthony c dukes,,108 MERCIA CIR ,,DURHAM,NC,27703-2885,,No,73TF3,1,63,12278078,1201,Y,USA,Main,6640,,2011,,,,,,,,,,,"238140, 238160, 238170"
136,"C & B ASSOCIATES, INC.",Ole N C Bar B Que,Faye Heath,,3600 N Duke St Suite 17,,Durham,NC,27704-1769,,Yes,32TB8,1,63,122258502,1201,Y,USA,Main,6640,http://www.olencbbq.com,2004,,,,,SC,,,,,,"722310, 722320"
137,"MMS Covenant, LLC ",CN Clark Company ,Judy Gaitens-Arneson,,1403 Person St ,,Durham,NC,27703-5059,"Labels for MIL-DTL-32075 (DDD-L-20), MIL-STD-129P and -129R and MIL-STD-130N. RFID labels, IUID labels, instruction sheets for tents, equipage, and munitions. Full 4 color (CYMK) and spot color printing. Design services.",Yes,5ZSE8,1,63,832962851,1201,Y,USA,Main,6640,http://www.cnclarkcompany.com,2009,,,,,LL,,,"MIL-DTL-32075, MIL-STD-129P, RFID tags, woven labels, barcodes, hangtags",,,"323111, 323113, 541430, 541613, 561910"
138,"Light Imaging Technologies, LLC ",,Alvin J Spivey,,1823 Leonard Drive ,,Durham,NC,27703-6040,,No,78YL9,1,63,79580048,1201,Y,USA,Main,6640,,2012,,,,,,,,Diagnostics,,,621511
139,HORIZON VIDEO PRODUCTIONS INC,HORIZON PRODUCTIONS,DONNA  M.  MITCHELL,President/owner,6114 FAYETTEVILLE RD STE 106,,DURHAM,NC,27713-6284,"Full-service multimedia production facility providing production coordination, scripting, crews, taping/filming, editing, music, audio editing/mixing/recording, sound design, graphics, animation, CD and DVD authoring, programming and replication.",Yes,1XNB3,4,63,78883147,101,Y,USA,Main,6640,https://www.horizonvp.com,1982,,,,,,,,"video, videos, CDs, CD, DVD, DVDs, audio, sound, film, Editing, Post, production, taping, filming, media, graphics, training, producing, mixing, orientation, marketing, multimedia, animation, 3D, 2D",,"Sony 600 Digital and XDCAM HD camera packages, AVID Adrenaline, Apple Final Cut Pro video editing, AfterEffects, Photoshop graphics, Maya 3D, Flash animation, DVD Studio Pro, Pro Tools|HD digital audio editing, on-site recording studios.","512110, 512191, 512240, 512290"
140,"Feaver, Peter D ",,PETER  Feaver,,331 Perkins ,,Durham,NC,27708-0001,,No,1QGX9,1,63,141561071,1201,Y,USA,Main,6640,,1998,,,,,,,,,,,"541720, 611310"
141,SOUTHERN EXPRESS INC.,,Vance Hoover,,1300 E PETTIGREW ST,,DURHAM,NC,27701-4243,We provide reliable charter bus service aboard late model inter-city motor coach buses.,Yes,6F6H3,1,63,833177103,1201,Y,USA,Main,6640,http://www.southernexpress.com,2010,,,,,SC,,,"Charter, Bus, Motorcoach, Passenger, Transportation",,Fifty-six (56) passenger coaches with lavatory.,485510
142,"Interim Health Care of the Triangle, LLC",Interim Services,Kimberly  Lowery,,3710 University Dr Ste 330,,Durham,NC,27707-6204,,Yes,6UDJ5,4,63,167944412,1201,Y,USA,Main,6640,www.interimhealthcare.com,2008,,,,,LL,,,,,,"561320, 621610, 624120"
143,"GFI USA, Inc. ",GFI Software ,David Spina,,1005 Slater Rd Ste 300 ,,Durham,NC,27703-8471,,Yes,1P6F6,4,63,14941020,1201,Y,USA,Branch,6640,http://www.gfi.com,1986,,,,,,,,,,,511210
144,"J.A. Farrington Industries, Inc ",,James A. Farrington,PRESIDENT,2403 Fayetteville St ,,Durham,NC,27707-4123,"We offer a host of individual services for custodial, electrical, plumbing, grounds maintenance and HVAC.",Yes,1L8C2,1,63,927265561,1201,Y,USA,Main,6640,http://www.farringtonindustries.com,1993,3/10/2000,5/17/2010,10/29/2009,4/12/2011,SC,3/10/2000,6/8/2010,"Janitorial, Landscaping, Painting, facility maintenance, ground maintenance",,"propane and high speed buffer,carpet steam cleaner,Vacum","541350, 561210, 561320, 561720, 561730"
145,"Anaplastology Clinic, LLC, The ",,JAY D MCCLENNEN,,1911 Hillandale Rd Ste 1110 ,,Durham,NC,27705-2666,,Yes,5DMR3,1,63,13442864,1201,Y,USA,Main,6640,www.prostheticRx.com,2008,,,,,LL,,,,,,"339113, 423450, 621399"
146,"GREGO, SONIA",,SONIA GREGO,,3040 CORNWALLIS RD,,RESEARCH TRIANGLE PARK,NC,27709-0000,,No,4WW32,4,63,808187376,1201,Y,USA,Main,6640,,2007,,,,,,,,,,,541690
147,KIRBY INFORMATION MANAGEMENT CONSULTING,KIRBYIMC,Joe D Kirby,,4221 NEW BERN PL,,DURHAM,NC,27707-5330,,No,6R0X6,4,63,194166281,601,Y,USA,Main,6640,,2005,,,,,LL,,,,,,"541512, 541611, 541618, 541690, 541990"
148,"Gehring, Molly K ",,Molly Gehring,,501 WILLARD ST # 403 ,,DURHAM,NC,27701-3274,,No,76GD0,1,63,79489875,1201,Y,USA,Main,6640,,2014,,,,,,,,,,,"541712, 541712, 541712, 541712"
149,MAKA RESOURCES,,KATRINA HARRIS,,1210 MAROON DR,,DURHAM,NC,27713-8233,MAKA Resources is minority owned small business. MAKA is a solutions provider for government and industry leaders to help them achieve measurable and positive results. Our commitment to quality is embodied in our approach to contracting.,No,44VN5,1,63,148063204,1201,Y,USA,Main,6640,,2004,,,,,LL,,,Consulting,,,"541512, 541611, 541612, 541613, 541618, 541690, 541720, 541910"
150,Hemo Bioscience Inc,,NOEL  R BROWN,,801 Capitola Dr Ste 9,,Durham,NC,27713-4384,,Yes,4YW90,4,63,143647035,1201,Y,USA,Main,6640,http://www.hemobioscience.com,2003,,,,,,,,,,,325413
151,"Baebies, inc. ",,Richard West,,615 Davis Dr Ste 800 ,,Research Triangle Park,NC,27709-0000,,No,71VL0,4,63,79264306,1201,Y,USA,Main,6640,www.baebies.com,2013,,,,,,,,,,,325413
152,"Fizer, Chelsea ",,Keith Endres,,109 TW Alexander Dr ,,Research Triangle Park,NC,27709-0002,,No,7AKV8,4,63,79676878,1201,Y,USA,Main,6640,,2015,,,,,,,,,,,"541712, 541712, 541712, 541712"
153,Psychometric Consulting LLC ,,Lawrence G Appelbaum,,1118 N Duke St ,,Durham,NC,27701-1631,,No,73NN9,1,63,79340981,1201,Y,USA,Main,6640,,2014,,,,,,,,,,,"541712, 541712, 541712, 541712"
154,"BREE & ASSOCIATES, INC.",,ROBERT LANCASTER PE,,5315 HIGHGATE DR STE 203,,DURHAM,NC,27713-6623,"BREE & Associates, Inc. is a consulting engineering/construction management firm. We have a staff of cost estimators, schedulers, project/construction managers, and inspectors. Our experience has grown to include providing services on $20M?$2B contracts.",No,3GT61,4,63,134345714,1201,Y,USA,Main,6640,https://www.breeassociates.com,2000,,,,,SC,,,"cost estimating, Inspection, Primavera, Timberline, Prolog, document control, design-build, CEI, rail, transit, data collection, cost controls, schedule controls, waste water, education, facilities, aviation, highway, bridge",,"Our team is fully competent in the technology and programs that ensure project efficiency such as MS Office, Primavera(P6), Timberline, MS Prolog, and AutoCAD.","541310, 541330, 541330, 541330, 541330, 541340, 541690"
155,"Aquino, Wilkins ",,Wilkins  Aquino,,7411 Montibillo Pkwy ,,Durham,NC,27713-8891,,No,79T70,4,63,79638085,1201,Y,USA,Main,6640,,2012,,,,,,,,,,,"541330, 541330, 541330, 541330"
156,"Alabi Architecture, Inc. ",,Olumayowa O Alabi,,6409 Fayetteville Rd Ste 120-252 ,,Durham,NC,27713-6297,,No,7F4E9,1,63,79526359,1201,Y,USA,Main,6640,www.alabiarchitecture.com,2013,,,,,SC,,,,,,541310
157,"BIOMEDOMICS, INC.",,FRANK  WANG,,6 DAVIS DR,,DURHAM,NC,27709-0000,,Yes,4LFJ0,4,63,788103971,1201,Y,USA,Main,6640,www.biomedomics.com,2006,,,,,,,,,,,"334510, 424210, 541711, 541712, 541712, 541712, 541712"
158,"NOVATARG, INC.",,Ken W Batchelor,,1st Flgt Vent Ctr 2 Davis Dr,,Research Triangle Park,NC,27709-0003,"Expertise in drug discovery and development, particularly in areas of metabolic disease and cancer.",No,687Y1,4,63,962942863,1201,Y,USA,Main,6640,novatargtherapeutics.com,2009,,,,,,,,"drug discovery, drug development, AMPK activators, metabolic diseases, type 2 diabetes, polycystic kidney, cancer, antiviral agents, dengue",,,541711
159,SWIFT SOLUTIONS INC. ,SWIFT SOLUTIONS ,AriKesari  Kanchanapalli,,4819 Emperor Blvd STE 400 ,,Durham,NC,27703-5420,,Yes,6ZVR2,4,63,938320780,1201,Y,USA,Main,6640,www.swiftsolinc.com,2005,,,,,SC,,,,,,541511
160,"Lucky U, Inc. ",,Malcolm Melvin  Jr,,4819 Emperor Blvd Ste 466 ,,Durham,NC,27703-5420,Power washing constructions buildings and dwellings automobiles.,Yes,4XCB1,4,63,808122621,1001,Y,USA,Main,6640,http//www.luckyumobile.com,2004,,,,,SC,,,Malcolm Melvin CEO,,Pressure washer hoses tanks generators/cleaning agents water,"238320, 423210, 453210, 485999, 561720, 561730, 561740, 561790, 561990, 621999, 811192, 812320, 812930"
161,"GOODYEAR INDUSTRIAL PRODUCTS COMPANY, LLC",MILLER RUBBER PRODUCTS CO,Al Yarsin,,2511 S TRICENTER BLVD,,DURHAM,NC,27713-1853,,Yes,5PVR6,4,63,11028071,1201,Y,USA,Main,6640,http://www.millerrubberproducts.com,2007,,,,,LL,,,,,,"238350, 326291, 326299, 337110, 337215, 423840"
162,Kairos Homes Incorporated ,"Kairos Team, The ",Karen M Horry,,807 E Main St Ste 4-133 ,,DURHAM,NC,27701-4076,,No,7ET62,1,63,22586271,1201,Y,USA,Main,6640,,2009,,,,,,,,"real estate, purchasing, buying, selling, notary, residential, commercial, rental, property management",,,"531110, 531120, 531130, 531210, 531311, 531312"
163,Innovation Research and Training Inc ,,JANIS B KUPERSMIDT,,1415 W NC HIGHWAY 54 STE 121 ,,DURHAM,NC,27707-5578,,Yes,44UB1,4,63,23317253,1201,Y,USA,Main,6640,,1999,,,,,SC,,,,,,541990
164,Global Appraisal LLC ,Global Appraisal ,EDWIN M FARR,,407 W CARVER ST ,,DURHAM,NC,27704-2709,"We provide real estate solutions to problems. Asset management support, market analyses, real estate appraisals, and more.",Yes,6N1S8,1,63,78357302,1201,Y,USA,Main,6640,www.globalappraisal.co,2011,,,,,LL,,,"Appraiser, consultant, real estate, business, market analysis, feasibility study, value, expert testimony",,,"531320, 541618"
165,"Nuventra, Inc. ",Nuventra Pharma Sciences ,Geoffrey Banks,,2525 Meridian Pkwy Ste 280 ,,Durham,NC,27713-5244,,No,73M69,1,63,78761300,1201,Y,USA,Main,6640,,2008,,,,,SC,,,,,,"541690, 541711"
166,SICKLESOFT INC,,Jude jonassaint,,5006 GREENVIEW DR,,DURHAM,NC,27713-8106,,No,5LAN0,4,63,26315595,1201,Y,USA,Main,6640,http://sicklesoft.com,2008,,,,,,,,,,,"541712, 541712, 541712, 541712"
167,"Polarean, Inc. ",,Jacqueline P. Inscoe,,2500 MERIDIAN PKWY STE 175 ,,DURHAM,NC,27713-5228,,No,6XTS8,1,63,78629330,1201,Y,USA,Main,6640,www.polarean.com,2011,,,,,,,,,,,333999
168,"Houghton Associates, Inc",,Robert Houghton,,4304 Dula St,,Durham,NC,27705-1666,,Yes,4U5K0,6,63,605046759,1201,Y,USA,Main,6640,http://www.houghtonassociates.com,2006,,,,,SC,,,,,,"541330, 541330, 541330, 541330, 541511, 541512, 541611, 541614, 541618, 541690, 541712, 541712, 541712, 541712"
169,TRIANGLE CERTIFICATION ,,PAUL G. Falcon,,2224 PAGE RD STE 104 ,,DURHAM,NC,27703-8908,,Yes,56Z04,1,63,606845233,1201,Y,USA,Main,6640,http://www.trianglecert.com,1997,,,,,LL,,,,,,"541380, 811219"
170,"GRAVATT, ANN S",,Ann S Gravatt,,3608 DOVER RD,,DURHAM,NC,27707-5104,,No,47HU9,4,63,145887787,1201,Y,USA,Main,6640,,2004,,,,,,,,,,,541690
171,FAAAQ-U CONSULTING SERVICES LLC ,,Marie T Barrow,,6347 Monterrey Creek Dr ,,Durham,NC,27713-6225,,Yes,7DUM4,1,63,79831915,1201,Y,USA,Main,6640,,2015,,,,,,,,,,,541614
172,SEA Consulting Group ,,Kathleen Taylor Tuck,,5519 Pelham Rd ,,Durham,NC,27713-2535,,No,7EMR1,4,63,79865170,1201,Y,USA,Main,6640,,2015,,,,,LL,,,,,,"541612, 541618, 611430"
173,"Caktus Consulting Group, LLC ",,COLIN Copeland,,108 MORRIS ST ,,DURHAM,NC,27701-3292,,No,5GG06,1,63,13253259,1201,Y,USA,Main,6640,http://www.caktusgroup.com,2007,,,,,SC,,,,,,541511
174,Success Realty Of NC LLC ,,Whitney Rich,,3201 Yorktown Ave Ste 115 ,,Durham,NC,27713-3455,"We are premier real estate agents in Durham, we?re here to provide you with all the resources and information you need to buy or sell real estate",Yes,77PU6,1,63,14784073,1201,Y,USA,Main,6640,http://successsells.com/,2004,,,,,LL,,,"Real estate sales, listing agent, sales agent, propertypreservation, foreclosure experts, rental agents, real estate brokers, realestate appraisal",,,"531210, 531312, 531390"
175,"BREEDEN, EDGAR",IBL MEDIA GROUP,T.J. Breeden,,4604 COTTENDALE DRIVE,,DURHAM,NC,27703-6244,,Yes,6MFF8,1,63,78349364,1201,Y,USA,Main,6640,http://www.tjbreeden.com,2010,,,,,,,,"writing, editing, screenwriting, publishing, marketing, social media, digital publishing, fiction, artists, writers, write, internet publishing, book publishing, North Carolina",,,"511120, 511130, 511140, 511199, 519130, 541611, 541613, 541618, 541850, 561410, 711510"
176,ARD ENTERPRISES,,FRANCHESCA  DAYE,,181 COUSIN RD,,ROUGEMONT,NC,27572-0000,,Yes,31KN2,6,63,164913308,1201,Y,USA,Main,6640,,2002,,,,,,,,"Heavy Haul, Women Owned, Transportation",,Specialized Over-Dimensional,"484110, 484121, 484122, 484220, 484230"
177,JEROME REITER,,JEROME Reiter,,2703 MONTGOMERY ST,,DURHAM,NC,27705-7523,,No,3U1S8,4,63,146214817,1201,Y,USA,Main,6640,,2004,,,,,,,,,,,"541712, 541712, 541712, 541712"
178,"LONG ISLAND PRODUCTIONS, INC",TRAINING NETWORK,RICHARD  ARNOLD,,106 CAPITOLA DR,,DURHAM,NC,27713-4471,,Yes,09EK4,4,63,121837918,1201,Y,USA,Main,6640,HTTP://WWW.SAFETYTRAININGNETWORK.COM,1981,,,,,SC,,,,,,"423490, 454111, 454113, 511199, 512120"
179,"LI, WEIWEI",,WEIWEI LI,,404 AARON CIR,,DURHAM,NC,27713-3201,,No,6AVD7,4,63,78516489,1201,Y,USA,Main,6640,,2012,,,,,,,,,,,"541712, 541712, 541712, 541712"
180,"POWERED RESEARCH, LLC",,Chris Brasfield,,"617 DAVIS DRIVE, STE 100",,DURHAM,NC,27713-0000,,No,6PHU6,4,63,78368899,1201,Y,USA,Main,6640,,2012,,,,,LL,,,,,,"541711, 541990"
181,"Fletcher, Tom ",Custom Caps & T Shirts ,THOMAS A FLETCHER,,1336 Lynley Rd ,,Durham,NC,27703-6070,,No,793X4,1,63,33910238,1201,Y,USA,Main,6640,,1980,,,,,,,,,,,323113
182,"Sarda Technologies, Inc. ",,Robert Conner,,2327 Englert Dr ,,Durham,NC,27713-4446,Voltage regulators Power management Power conversion Heterogeneous integrated power supply in package,No,72VB0,4,63,78438511,1201,Y,USA,Main,6640,,2011,,,,,,,,"power management, voltage regulator, point-of-load module, power stage, power block, power conversion, dc-dc, power supply",,,334413
183,"GEN. 2 DESIGN, LLC ",,Ashley J Freeland,,1100 Huntsman Dr ,,Durham,NC,27713-2369,,No,7CLZ7,4,63,79792414,1201,Y,USA,Main,6640,,2013,,,,,,,,"Mechanical, Electrical, Plumbing engineering",,,"541330, 541330, 541330, 541330"
184,"DRACOR, INC.",DRACOR WATER SYSTEMS,RICHARD M HALL,,3643 HILLSBOROUGH RD,,DURHAM,NC,27705-2903,,Yes,0NCH6,4,63,65288524,1201,Y,USA,Main,6640,www.dracorwatersystems.com,1954,,,,,SC,,,,,,"339999, 423830, 532490, 811310"
185,"JONES, CHRISTOPHER",,CHRISTOPHER  P JONES,,5525 JOMALI DR,,DURHAM,NC,27705-8393,,No,1YU05,6,63,111942822,1201,Y,USA,Main,6640,http://www.coastalhazard.com,1997,,,,,,,,,,,"541330, 541330, 541330, 541330"
186,A Majestic Cleaning of the Triangle ,,Alice E Kennedy,,4201 Livingston PL ,,Durham,NC,27707-5516,"A Majestic Cleaning of the Triangle specializes in environmental friendly natural cleaning products reduce pesticide in the air, allowing you to live a healthier life. We professionally clean your office, resident and automobile",Yes,73W89,4,63,79333763,1201,Y,USA,Main,6640,,2014,,,,,,,,"green cleaning, offices buildings, residents, resident movein&outs, common areas, small medium complex, cinemas, one-time cleaning, any vacancies, auditorium, post construction, special event, anniversary, reunions, pool parties, auto detail nowater",,,"561720, 811192"
187,"CREATIVE SCIENTIST, INC.",,Alexander Kinev,,4609 REGENCY DR,,DURHAM,NC,27713-6509,"isolation of endothelial progenitor cells, cell-based assay development, cell culture media formulation, high-throughput cell-based assay development, oxidative stress assay, nitric oxide assay",No,6UB47,4,63,55063016,1201,Y,USA,Main,6640,,2010,,,,,SC,,,"cell-based assays, endothelial progenitor cells, endothelial colony-forming cells, cell culture growth media, primary cell culture, high-throughput assay, high content assay, toxicology, radiation, cell signaling, reporter assays, donor-specific cells","vascular abnormalities, nitric oxide, coagulation, vascular disease, blood vessels, cancer, wound healing",,"541711, 541712, 541712, 541712, 541712"
188,"BULLINS-GUYNN, INC.",,BRENDA  W HILL,,917 N HARDEE ST,,DURHAM,NC,27703-1515,,Yes,4PSJ0,1,63,361501562,1201,Y,USA,Main,6640,,1995,,,,,SC,,,,,,"811111, 811112, 811113, 811118, 811121, 811191, 811198"
189,"STRAHL MD, NATHAN ROBERT",,NATHAN STRAHL,,3308 DURHAM CHAPEL HILL BLVD,,DURHAM,NC,27707-2694,,Yes,3MKD9,4,63,140207569,1201,Y,USA,Main,6640,,1987,,,,,,,,,,,621112
190,"CivaTech Oncology, Inc. ",,SUZANNE Babcock,,2810 Meridian Parkway Suite 148 ,,Durham,NC,27713-2234,,No,4T5T4,1,63,801431862,1201,Y,USA,Main,6640,,2006,,,,,,,,,,,339113
191,"Scholle, Steven D. ",,Steven D Scholle,,1914 Ward St ,,Durham,NC,27707-1441,,No,7B7N0,1,63,79706371,1201,Y,USA,Main,6640,,2015,,,,,,,,,,,"541690, 541712, 541712, 541712, 541712"
192,"SPICY GREEN GOURMET, LLC ",,Ashyn  B Smith,,2945 S MIAMI BLVD Ste 126 ,,DURHAM,NC,27703-8075,,Yes,73Y43,4,63,8941285,1201,Y,USA,Main,6640,,2007,,,,,LL,,,,,,722513
193,PIVOT POINT MEDIA LLC,,Gilford B Fitts,,1107 Wells St,,DURHAM,NC,27707-1623,,No,6UK51,1,63,30796391,1201,Y,USA,Main,6640,www.pivotpoint-media.com,2010,,,,,SC,,,,,,"512110, 512191"
194,Bull City Rug & Interiors Inc ,Flooring By Design ,cheryl dalton,,5337 N Roxboro Rd ,,Durham,NC,27712-2227,,Yes,7ERE4,6,63,28773083,1201,Y,USA,Main,6640,,1981,,,,,SC,,,,,,238330
195,"LIMBIONICS OF DURHAM, INC. ",,Brittany Stresing,,5007 SOUTHPARK DR STE 110 ,,DURHAM,NC,27713-7739,"Evaluate patient, design device for their prosthetic/ orthotic need, fabricate device, fit patient to ensure it is proper and allows patients to achieve their goals of increased function, pain relief, and/or increased mobility, and follow up with patient",Yes,6XGV6,4,63,48777752,1201,Y,USA,Main,6640,,2013,,,,,SC,,,"prosthetic limbs, orthotics, braces, diabetic shoe, spinal brace, artificial limbs, knee brace, ankle brace",,,"621399, 621999"
196,"INTERNATIONAL ASSOCIATION OF VIRTUAL ORGANIZATIONS, INCORPORATED ",IAVO Research And Scientific ,Dawn HERIC,President,3710 University Dr Ste 240 ,,DURHAM,NC,27707-6208,"Expertise and offerings in several scientific areas (each represented by DBAs, respectively), including: program evaluation, educational modeling, geoscience (remote sensing and geographic information systems (GIS), and photogrammetry.",Yes,1LY81,4,63,59333349,1201,Y,USA,Main,6640,http://www.iavo.com,1997,,,,,SC,,,"remote sensing, photogrammetry, GIS, program evaluation, educational modeling",,,"541511, 541512, 541712, 541712, 541712, 541712, 541720"
197,"Valley View Office, LLC ",,Linda A Logan,,3511 Shannon Rd ,,Durham,NC,27707-6330,,No,6ZK14,4,63,808598481,1201,Y,USA,Main,6640,,2003,,,,,,,,,,,"531190, 531190"
198,"Utile, Sandra ",,Sandra utile,,538 1/2 Martha St ,,Durham,NC,27707-4228,,Yes,7ELN8,1,63,79886567,1201,Y,USA,Main,6640,,2015,,,,,,,,,,,"541712, 541712, 541712, 541712"
199,CAROLINA HILLANDALE LLC,,Rodney Allison,,2200 W MAIN ST STE 900,,DURHAM,NC,27705-4640,,No,3V3G7,1,63,137137365,1201,Y,USA,Main,6640,,1998,,,,,LL,,,,,,531390
200,"Carolina Partners In Mental Healthcare, PLLC ",(AFF: University of North Carolina Hospitals) ,Stanley Monroe,,1502 W NC HIGHWAY 54 STE 103 ,,DURHAM,NC,27707-5572,,Yes,76Z39,4,63,134020200,1201,Y,USA,Main,6640,www.carolinapatners.com,1994,,,,,LL,,,,,,"621112, 621420"
201,"Global Health Equity Intelligence Collaborative, LLC ",GHEIC ,Timothy J Carney,,2 Rosemeade Place ,,Durham,NC,27712-3719,"Management of systems level and individual strategic, operational, and tactical intelligence to address health disparities/health equity. FOrster community empowerment using the community-based knowledge exchange network (CBKEN) toolkit.",Yes,7AJQ7,6,63,79663640,1201,Y,USA,Main,6640,,2014,,,,,LL,,,"Health, Disparities, Health Equity, Informatics, Knowledge, Empowerment, Systems, Organizational, Network Analysis, Community, Engagement, Informed Decisions, Learning Health",,,"425110, 541611, 541690, 541711, 541712, 541712, 541712, 541712, 541720, 813319"
202,"ASCENDIENT HEALTHCARE ADVISORS, INC. ",,BRIAN K Ackerman,,6320 QUADRANGLE DR STE 180 ,,CHAPEL HILL,NC,27517-7815,,No,6DU76,4,63,877182162,1201,Y,USA,Main,6640,www.ascendient.com,1994,,,,,SC,,,,,,"541611, 541613, 541618"
203,"BLACKINTON, THERESA DOWEL",,Theresa Blackinton,,1417 N DUKE ST,,DURHAM,NC,27701-1236,,No,66YX5,1,63,965550390,1201,Y,USA,Main,6640,http://www.theresadowellblackinton.com,2008,,,,,,,,"Editor, Writer, Proofreader, Indexer",,,"561410, 711510"
204,WOODARD-CODY SPECIALTY CONSULTING,,Gary A Hazlett,,4115 HULON DR,,DURHAM,NC,27705-5360,,Yes,38TR1,4,63,178633579,1201,Y,USA,Main,6640,,2005,,,,,SC,,,,,,"541618, 541720"
